Time@[Altitude (Baro-Ft-AGL)],[Altitude (Baro-Ft-AGL)]
16.845,7655.6
16.895,7668.36
16.945,7679.55
16.995,7693.91
17.045,7706.7
17.095,7721.09
17.145,7732.28
17.195,7745.07
17.245,7756.27
17.295,7769.09
17.345,7780.3
17.395,7789.91
17.445,7802.73
17.495,7813.95
17.545,7825.18
17.595,7836.41
17.645,7847.65
17.695,7858.88
17.745,7868.52
17.795,7879.77
17.845,7891.02
17.895,7902.28
17.945,7911.93
17.995,7921.57
18.045,7931.23
18.095,7942.5
18.145,7952.17
18.195,7961.83
18.245,7971.5
18.295,7981.17
18.345,7990.85
18.395,8000.52
18.445,8008.59
18.495,8018.27
18.545,8026.35
18.595,8036.03
18.645,8045.72
18.695,8055.41
18.745,8065.11
18.795,8073.19
18.845,8082.9
18.895,8090.99
18.945,8099.08
18.995,8107.18
19.045,8115.26
19.095,8123.36
19.145,8131.46
19.195,8139.56
19.245,8147.67
19.295,8154.15
19.345,8162.26
19.395,8170.36
19.445,8176.86
19.495,8184.96
19.545,8193.08
19.595,8199.57
19.645,8206.07
19.695,8214.19
19.745,8220.69
19.795,8227.19
19.845,8233.68
19.895,8240.18
19.945,8246.69
19.995,8253.2
20.045,8259.7
20.095,8264.58
20.145,8271.09
20.195,8277.6
20.245,8282.48
20.295,8288.99
20.345,8293.88
20.395,8300.39
20.445,8306.91
20.495,8311.79
20.545,8316.69
20.595,8321.57
20.645,8326.46
20.695,8331.36
20.745,8336.24
20.795,8341.13
20.845,8346.03
20.895,8350.92
20.945,8354.19
20.995,8359.08
21.045,8363.98
21.095,8367.24
21.145,8370.5
21.195,8375.4
21.245,8380.3
21.295,8381.93
21.345,8386.83
21.395,8390.1
21.445,8393.36
21.495,8398.27
21.545,8401.54
21.595,8404.8
21.645,8408.08
21.695,8411.34
21.745,8414.61
21.795,8416.24
21.845,8419.51
21.895,8422.79
21.945,8424.42
21.995,8427.69
22.045,8429.32
22.095,8432.6
22.145,8434.23
22.195,8435.87
22.245,8437.51
22.295,8440.77
22.345,8442.41
22.395,8444.04
22.445,8445.68
22.495,8447.32
22.545,8450.6
22.595,8452.23
22.645,8452.23
22.695,8453.86
22.745,8455.5
22.795,8457.14
22.845,8458.78
22.895,8458.78
22.945,8458.78
22.995,8460.41
23.045,8460.41
23.095,8462.05
23.145,8462.05
23.195,8462.05
23.245,8462.05
23.295,8462.05
23.345,8462.05
23.395,8462.05
23.445,8462.05
23.495,8462.05
23.545,8462.05
23.595,8462.05
23.645,8460.41
23.695,8460.41
23.745,8460.41
23.795,8458.78
23.845,8458.78
23.895,8457.14
23.945,8457.14
23.995,8455.5
24.045,8455.5
24.095,8453.86
24.145,8452.23
24.195,8450.6
24.245,8450.6
24.295,8447.32
24.345,8359.08
24.395,8034.42
24.445,7591.84
24.495,7127.18
24.545,7328.64
24.595,7550.47
24.645,7745.07
24.695,7900.67
24.745,8019.89
24.795,8110.41
24.845,8176.86
24.895,8227.19
24.945,8266.21
24.995,8297.13
25.045,8318.31
25.095,8331.36
25.145,8341.13
25.195,8347.66
25.245,8350.92
25.295,8352.55
25.345,8352.55
25.395,8354.19
25.445,8352.55
25.495,8350.92
25.545,8349.29
25.595,8346.03
25.645,8342.76
25.695,8339.5
25.745,8334.61
25.795,8331.36
25.845,8328.09
25.895,8323.2
25.945,8319.94
25.995,8313.42
26.045,8310.17
26.095,8305.28
26.145,8302.02
26.195,8300.39
26.245,8295.5
26.295,8293.88
26.345,8290.62
26.395,8287.36
26.445,8284.11
26.495,8282.48
26.545,8280.85
26.595,8280.85
26.645,8280.85
26.695,8282.48
26.745,8284.11
26.795,8280.85
26.845,8274.34
26.895,8266.21
26.945,8254.82
26.995,8235.31
27.045,8219.06
27.095,8204.44
27.145,8197.95
27.195,8201.2
27.245,8214.19
27.295,8235.31
27.345,8249.95
27.395,8248.32
27.445,8253.2
27.495,8258.07
27.545,8262.96
27.595,8267.84
27.645,8264.58
27.695,8262.96
27.745,8253.2
27.795,8248.32
27.845,8233.68
27.895,8214.19
27.945,8191.46
27.995,8167.12
28.045,8144.43
28.095,8126.6
28.145,8113.64
28.195,8103.93
28.245,8094.22
28.295,8086.14
28.345,8082.9
28.395,8079.67
28.445,8081.28
28.495,8081.28
28.545,8081.28
28.595,8082.9
28.645,8087.76
28.695,8087.76
28.745,8086.14
28.795,8084.52
28.845,8081.28
28.895,8078.05
28.945,8074.82
28.995,8065.11
29.045,8055.41
29.095,8042.5
29.145,8036.03
29.195,8029.57
29.245,8023.11
29.295,8002.13
29.345,7976.34
29.395,7952.17
29.445,7940.89
29.495,7942.5
29.545,7955.38
29.595,7984.4
29.645,8015.04
29.695,8057.04
29.745,8095.85
29.795,8121.74
29.845,8149.28
29.895,8163.88
29.945,8173.61
29.995,8173.61
30.045,8163.88
30.095,8157.4
30.145,8146.05
30.195,8133.08
30.245,8123.36
30.295,8097.47
30.345,8071.58
30.395,8050.57
30.445,8019.89
30.495,7977.95
30.545,7928.02
30.595,7879.77
30.645,7844.44
30.695,7818.76
30.745,7799.52
30.795,7786.7
30.845,7772.29
30.895,7764.29
30.945,7757.88
30.995,7754.68
31.045,7751.48
31.095,7749.88
31.145,7754.68
31.195,7757.88
31.245,7762.68
31.295,7764.29
31.345,7769.09
31.395,7765.88
31.445,7761.08
31.495,7759.48
31.545,7756.27
31.595,7754.68
31.645,7749.88
31.695,7746.68
31.745,7733.87
31.795,7708.29
31.845,7676.35
31.895,7642.83
31.945,7617.33
31.995,7598.21
32.045,7577.52
32.095,7560.02
32.145,7544.11
32.195,7536.17
32.245,7531.39
32.295,7531.39
32.345,7528.22
32.395,7520.28
32.445,7512.33
32.495,7502.8
32.545,7494.86
32.595,7488.52
32.645,7483.76
32.695,7480.58
32.745,7480.58
32.795,7479
32.845,7486.93
32.895,7496.46
32.945,7499.63
32.995,7504.39
33.045,7518.69
33.095,7518.69
33.145,7521.87
33.195,7537.76
33.245,7553.66
33.295,7561.61
33.345,7577.52
33.395,7593.44
33.445,7596.62
33.495,7585.48
33.545,7571.15
33.595,7563.2
33.645,7569.56
33.695,7582.29
33.745,7583.88
33.795,7564.79
33.845,7547.29
33.895,7520.28
33.945,7493.28
33.995,7456.8
34.045,7421.93
34.095,7395.02
34.145,7368.14
34.195,7336.53
34.245,7306.54
34.295,7284.46
34.345,7263.97
34.395,7252.94
34.445,7246.64
34.495,7248.21
34.545,7262.39
34.595,7281.3
34.645,7309.69
34.695,7346.01
34.745,7393.45
34.795,7433.02
34.845,7458.38
34.895,7452.04
34.945,7437.78
34.995,7426.68
35.045,7423.52
35.095,7425.1
35.145,7428.27
35.195,7442.53
35.245,7459.96
35.295,7469.48
35.345,7458.38
35.395,7439.36
35.445,7407.69
35.495,7372.88
35.545,7341.28
35.595,7316
35.645,7297.07
35.695,7287.61
35.745,7282.88
35.795,7276.58
35.845,7268.7
35.895,7265.54
35.945,7265.54
35.995,7265.54
36.045,7248.21
36.095,7226.17
36.145,7218.31
36.195,7226.17
36.245,7245.06
36.295,7260.82
36.345,7282.88
36.395,7301.81
36.445,7300.23
36.495,7297.07
36.545,7297.07
36.595,7287.61
36.645,7275
36.695,7263.97
36.745,7248.21
36.795,7238.76
36.845,7219.88
36.895,7194.71
36.945,7152.29
36.995,7094.25
37.045,7036.31
37.095,6987.85
37.145,6953.51
37.195,6931.68
37.245,6920.76
37.295,6917.64
37.345,6912.97
37.395,6906.74
37.445,6897.39
37.495,6880.26
37.545,6872.48
37.595,6872.48
37.645,6881.82
37.695,6892.72
37.745,6898.95
37.795,6905.18
37.845,6930.12
37.895,6959.75
37.945,6987.85
37.995,7006.6
38.045,7015.98
38.095,7000.35
38.145,6976.92
38.195,6975.36
38.245,6986.29
38.295,7003.48
38.345,7006.6
38.395,7012.85
38.445,7009.73
38.495,7011.29
38.545,7023.8
38.595,7019.11
38.645,7017.54
38.695,7014.42
38.745,7011.29
38.795,6983.17
38.845,6955.07
38.895,6961.32
38.945,6964.44
38.995,6975.36
39.045,6969.12
39.095,6961.32
39.145,6948.83
39.195,6937.91
39.245,6937.91
39.295,6925.43
39.345,6906.74
39.395,6886.49
39.445,6864.7
39.495,6832.04
39.545,6787
39.595,6735.83
39.645,6690.92
39.695,6652.26
39.745,6621.37
39.795,6596.67
39.845,6576.62
39.895,6558.13
39.945,6545.8
39.995,6533.49
40.045,6524.25
40.095,6516.56
40.145,6508.86
40.195,6499.63
40.245,6493.48
40.295,6485.8
40.345,6476.57
40.395,6467.35
40.445,6459.67
40.495,6450.46
40.545,6442.78
40.595,6436.64
40.645,6428.96
40.695,6425.9
40.745,6422.83
40.795,6421.29
40.845,6421.29
40.895,6425.9
40.945,6425.9
40.995,6427.43
41.045,6430.5
41.095,6432.03
41.145,6442.78
41.195,6447.39
41.245,6448.92
41.295,6451.99
41.345,6453.52
41.395,6462.75
41.445,6467.35
41.495,6468.88
41.545,6455.06
41.595,6433.57
41.645,6413.62
41.695,6386.03
41.745,6363.05
41.795,6337.02
41.845,6320.2
41.895,6304.91
41.945,6297.27
41.995,6292.68
42.045,6298.79
42.095,6307.96
42.145,6317.13
42.195,6329.38
42.245,6349.27
42.295,6364.58
42.345,6375.3
42.395,6387.55
42.445,6401.35
42.495,6416.69
42.545,6428.96
42.595,6438.17
42.645,6444.32
42.695,6442.78
42.745,6445.85
42.795,6445.85
42.845,6445.85
42.895,6450.46
42.945,6451.99
42.995,6448.92
43.045,6435.1
43.095,6422.83
43.145,6405.96
43.195,6361.51
43.245,6306.44
43.295,6240.77
43.345,6190.47
43.395,6147.86
43.445,6111.37
43.495,6082.52
43.545,6059.75
43.595,6044.59
43.645,6037.02
43.695,6037.02
43.745,6043.08
43.795,6055.21
43.845,6067.35
43.895,6079.48
43.945,6090.11
43.995,6099.22
44.045,6111.37
44.095,6125.05
44.145,6129.61
44.195,6118.97
44.245,6105.29
44.295,6111.37
44.345,6118.97
44.395,6117.45
44.445,6117.45
44.495,6125.05
44.545,6135.69
44.595,6152.42
44.645,6155.46
44.695,6152.42
44.745,6134.17
44.795,6112.89
44.845,6088.59
44.895,6062.79
44.945,6038.53
44.995,6024.89
45.045,6011.26
45.095,5996.12
45.145,5984.01
45.195,5971.9
45.245,5962.84
45.295,5956.78
45.345,5950.73
45.395,5946.2
45.445,5944.69
45.495,5943.18
45.545,5940.16
45.595,5935.62
45.645,5932.61
45.695,5932.61
45.745,5931.09
45.795,5929.58
45.845,5929.58
45.895,5926.56
45.945,5925.05
45.995,5923.54
46.045,5923.54
46.095,5923.54
46.145,5922.03
46.195,5922.03
46.245,5920.52
46.295,5919.01
46.345,5917.5
46.395,5915.99
46.445,5914.48
46.495,5914.48
46.545,5912.97
46.595,5912.97
46.645,5911.46
46.695,5911.46
46.745,5909.95
46.795,5909.95
46.845,5908.44
46.895,5908.44
46.945,5906.93
46.995,5906.93
47.045,5905.42
47.095,5903.91
47.145,5903.91
47.195,5902.4
47.245,5902.4
47.295,5902.4
47.345,5900.9
47.395,5900.9
47.445,5899.39
47.495,5897.88
47.545,5897.88
47.595,5897.88
47.645,5896.37
47.695,5896.37
47.745,5894.86
47.795,5893.35
47.845,5891.84
47.895,5890.33
47.945,5890.33
47.995,5888.82
48.045,5887.31
48.095,5887.31
48.145,5887.31
48.195,5887.31
48.245,5884.29
48.295,5884.29
48.345,5882.79
48.395,5882.79
48.445,5881.28
48.495,5881.28
48.545,5881.28
48.595,5878.26
48.645,5876.75
48.695,5875.24
48.745,5873.74
48.795,5872.23
48.845,5872.23
48.895,5870.72
48.945,5869.22
48.995,5867.71
49.045,5867.71
49.095,5867.71
49.145,5866.2
49.195,5864.69
49.245,5864.69
49.295,5863.19
49.345,5863.19
49.395,5860.17
49.445,5857.15
49.495,5857.15
49.545,5857.15
49.595,5857.15
49.645,5855.65
49.695,5854.14
49.745,5852.64
49.795,5852.64
49.845,5851.13
49.895,5851.13
49.945,5851.13
49.995,5851.13
50.045,5849.62
50.095,5848.12
50.145,5846.61
50.195,5845.1
50.245,5842.09
50.295,5840.58
50.345,5840.58
50.395,5840.58
50.445,5839.08
50.495,5839.08
50.545,5837.57
50.595,5837.57
50.645,5836.06
50.695,5836.06
50.745,5836.06
50.795,5834.56
50.845,5833.05
50.895,5831.54
50.945,5830.04
50.995,5827.03
51.045,5825.52
51.095,5825.52
51.145,5824.02
51.195,5824.02
51.245,5824.02
51.295,5824.02
51.345,5822.51
51.395,5821
51.445,5819.5
51.495,5818
51.545,5818
51.595,5814.99
51.645,5814.99
51.695,5813.48
51.745,5813.48
51.795,5810.47
51.845,5808.96
51.895,5807.46
51.945,5805.95
51.995,5805.95
52.045,5804.45
52.095,5804.45
52.145,5802.95
52.195,5802.95
52.245,5802.95
52.295,5802.95
52.345,5801.44
52.395,5799.94
52.445,5799.94
52.495,5798.43
52.545,5796.93
52.595,5793.92
52.645,5793.92
52.695,5792.41
52.745,5792.41
52.795,5790.91
52.845,5789.4
52.895,5789.4
52.945,5787.91
52.995,5787.91
53.045,5786.4
53.095,5786.4
53.145,5784.9
53.195,5784.9
53.245,5783.39
53.295,5781.89
53.345,5780.39
53.395,5778.88
53.445,5778.88
53.495,5777.38
53.545,5777.38
53.595,5775.87
53.645,5774.37
53.695,5774.37
53.745,5772.86
53.795,5771.36
53.845,5769.87
53.895,5769.87
53.945,5768.36
53.995,5768.36
54.045,5766.86
54.095,5765.36
54.145,5763.85
54.195,5763.85
54.245,5762.35
54.295,5760.85
54.345,5760.85
54.395,5759.34
54.445,5759.34
54.495,5757.84
54.545,5757.84
54.595,5756.33
54.645,5754.83
54.695,5754.83
54.745,5753.33
54.795,5751.83
54.845,5751.83
54.895,5751.83
54.945,5750.33
54.995,5748.83
55.045,5747.33
55.095,5745.83
55.145,5744.32
55.195,5744.32
55.245,5742.82
55.295,5742.82
55.345,5741.32
55.395,5739.82
55.445,5739.82
55.495,5738.31
55.545,5736.81
55.595,5736.81
55.645,5735.31
55.695,5735.31
55.745,5735.31
55.795,5733.81
55.845,5733.81
55.895,5732.31
55.945,5730.81
55.995,5730.81
56.045,5730.81
56.095,5727.8
56.145,5727.8
56.195,5727.8
56.245,5726.3
56.295,5726.3
56.345,5724.8
56.395,5724.8
56.445,5723.3
56.495,5723.3
56.545,5721.8
56.595,5720.3
56.645,5720.3
56.695,5718.8
56.745,5717.3
56.795,5717.3
56.845,5715.8
56.895,5715.8
56.945,5714.3
56.995,5712.8
57.045,5712.8
57.095,5711.3
57.145,5711.3
57.195,5709.8
57.245,5709.8
57.295,5709.8
57.345,5708.3
57.395,5706.8
57.445,5706.8
57.495,5705.3
57.545,5703.8
57.595,5703.8
57.645,5702.3
57.695,5702.3
57.745,5702.3
57.795,5700.8
57.845,5700.8
57.895,5699.3
57.945,5697.8
57.995,5697.8
58.045,5696.3
58.095,5696.3
58.145,5694.8
58.195,5693.3
58.245,5693.3
58.295,5693.3
58.345,5691.8
58.395,5691.8
58.445,5690.3
58.495,5688.8
58.545,5687.3
58.595,5687.3
58.645,5685.8
58.695,5685.8
58.745,5684.3
58.795,5684.3
58.845,5682.8
58.895,5681.31
58.945,5681.31
58.995,5679.81
59.045,5679.81
59.095,5678.31
59.145,5676.81
59.195,5675.31
59.245,5675.31
59.295,5675.31
59.345,5673.81
59.395,5673.81
59.445,5673.81
59.495,5672.31
59.545,5670.81
59.595,5669.32
59.645,5669.32
59.695,5667.82
59.745,5667.82
59.795,5666.32
59.845,5664.82
59.895,5663.32
59.945,5663.32
59.995,5663.32
60.045,5661.83
60.095,5661.83
60.145,5660.33
60.195,5658.83
60.245,5657.33
60.295,5657.33
60.345,5655.84
60.395,5655.84
60.445,5654.34
60.495,5652.84
60.545,5652.84
60.595,5651.34
60.645,5649.84
60.695,5649.84
60.745,5648.35
60.795,5648.35
60.845,5648.35
60.895,5646.85
60.945,5645.35
60.995,5645.35
61.045,5645.35
61.095,5643.86
61.145,5642.36
61.195,5640.86
61.245,5640.86
61.295,5639.37
61.345,5637.87
61.395,5637.87
61.445,5637.87
61.495,5634.88
61.545,5634.88
61.595,5633.38
61.645,5633.38
61.695,5631.88
61.745,5630.39
61.795,5630.39
61.845,5627.4
61.895,5627.4
61.945,5625.9
61.995,5624.4
62.045,5624.4
62.095,5622.91
62.145,5622.91
62.195,5621.41
62.245,5619.92
62.295,5619.92
62.345,5619.92
62.395,5618.42
62.445,5618.42
62.495,5616.92
62.545,5616.92
62.595,5615.43
62.645,5615.43
62.695,5613.93
62.745,5613.93
62.795,5612.44
62.845,5612.44
62.895,5610.94
62.945,5609.45
62.995,5609.45
63.045,5607.95
63.095,5606.46
63.145,5606.46
63.195,5604.96
63.245,5604.96
63.295,5603.46
63.345,5603.46
63.395,5601.96
63.445,5600.47
63.495,5598.97
63.545,5598.97
63.595,5597.48
63.645,5595.99
63.695,5594.49
63.745,5594.49
63.795,5593
63.845,5593
63.895,5591.5
63.945,5590.01
63.995,5588.52
64.045,5588.52
64.095,5588.52
64.145,5588.52
64.195,5587.02
64.245,5585.53
64.295,5585.53
64.345,5584.03
64.395,5582.54
64.445,5582.54
64.495,5579.55
64.545,5581.05
64.595,5579.55
64.645,5578.06
64.695,5578.06
64.745,5578.06
64.795,5576.56
64.845,5576.56
64.895,5575.07
64.945,5575.07
64.995,5573.57
65.045,5573.57
65.095,5572.08
65.145,5570.58
65.195,5570.58
65.245,5569.09
65.295,5566.1
65.345,5566.1
65.395,5564.61
65.445,5564.61
65.495,5563.12
65.545,5561.63
65.595,5561.63
65.645,5560.14
65.695,5558.64
65.745,5558.64
65.795,5557.15
65.845,5555.66
65.895,5555.66
65.945,5554.16
65.995,5554.16
66.045,5552.67
66.095,5552.67
66.145,5551.17
66.195,5549.68
66.245,5549.68
66.295,5548.19
66.345,5546.7
66.395,5546.7
66.445,5545.21
66.495,5545.21
66.545,5543.71
66.595,5543.71
66.645,5542.22
66.695,5540.73
66.745,5539.24
66.795,5539.24
66.845,5537.75
66.895,5537.75
66.945,5536.25
66.995,5536.25
67.045,5534.76
67.095,5533.26
67.145,5531.77
67.195,5530.28
67.245,5530.28
67.295,5530.28
67.345,5530.28
67.395,5528.79
67.445,5527.3
67.495,5525.81
67.545,5525.81
67.595,5524.32
67.645,5524.32
67.695,5522.83
67.745,5522.83
67.795,5521.33
67.845,5519.84
67.895,5519.84
67.945,5518.35
67.995,5518.35
68.045,5516.86
68.095,5515.37
68.145,5515.37
68.195,5513.88
68.245,5513.88
68.295,5512.39
68.345,5510.9
68.395,5510.9
68.445,5509.41
68.495,5509.41
68.545,5507.92
68.595,5506.42
68.645,5506.42
68.695,5504.93
68.745,5503.44
68.795,5501.95
68.845,5501.95
68.895,5500.46
68.945,5500.46
68.995,5500.46
69.045,5498.97
69.095,5498.97
69.145,5497.48
69.195,5497.48
69.245,5496
69.295,5496
69.345,5494.5
69.395,5494.5
69.445,5493.01
69.495,5493.01
69.545,5491.52
69.595,5490.03
69.645,5488.54
69.695,5488.54
69.745,5487.05
69.795,5485.56
69.845,5485.56
69.895,5484.08
69.945,5482.58
69.995,5481.09
70.045,5481.09
70.095,5479.6
70.145,5478.11
70.195,5478.11
70.245,5475.14
70.295,5475.14
70.345,5473.65
70.395,5473.65
70.445,5472.16
70.495,5472.16
70.545,5472.16
70.595,5470.67
70.645,5470.67
70.695,5470.67
70.745,5469.18
70.795,5467.69
70.845,5467.69
70.895,5466.2
70.945,5466.2
70.995,5464.72
71.045,5463.23
71.095,5463.23
71.145,5461.74
71.195,5460.25
71.245,5458.76
71.295,5458.76
71.345,5457.27
71.395,5455.79
71.445,5455.79
71.495,5454.3
71.545,5452.81
71.595,5452.81
71.645,5451.32
71.695,5451.32
71.745,5449.83
71.795,5449.83
71.845,5448.34
71.895,5448.34
71.945,5446.85
71.995,5445.37
72.045,5443.88
72.095,5443.88
72.145,5442.4
72.195,5442.4
72.245,5440.9
72.295,5440.9
72.345,5439.42
72.395,5437.93
72.445,5437.93
72.495,5436.44
72.545,5436.44
72.595,5436.44
72.645,5434.96
72.695,5434.96
72.745,5433.47
72.795,5431.98
72.845,5430.49
72.895,5429.01
72.945,5429.01
72.995,5427.52
73.045,5426.04
73.095,5426.04
73.145,5424.55
73.195,5424.55
73.245,5423.06
73.295,5421.57
73.345,5421.57
73.395,5420.09
73.445,5420.09
73.495,5418.6
73.545,5417.11
73.595,5417.11
73.645,5415.63
73.695,5415.63
73.745,5414.14
73.795,5414.14
73.845,5412.65
73.895,5412.65
73.945,5411.17
73.995,5411.17
74.045,5411.17
74.095,5409.68
74.145,5408.2
74.195,5406.71
74.245,5405.22
74.295,5403.74
74.345,5403.74
74.395,5402.25
74.445,5400.77
74.495,5400.77
74.545,5399.28
74.595,5399.28
74.645,5397.79
74.695,5396.31
74.745,5396.31
74.795,5394.82
74.845,5393.34
74.895,5393.34
74.945,5391.86
74.995,5391.86
75.045,5390.36
75.095,5390.36
75.145,5390.36
75.195,5388.88
75.245,5388.88
75.295,5387.4
75.345,5385.91
75.395,5385.91
75.445,5384.43
75.495,5382.94
75.545,5381.46
75.595,5381.46
75.645,5379.97
75.695,5379.97
75.745,5378.49
75.795,5378.49
75.845,5377.01
75.895,5375.52
75.945,5374.03
75.995,5374.03
76.045,5372.55
76.095,5372.55
76.145,5372.55
76.195,5371.07
76.245,5371.07
76.295,5369.58
76.345,5368.09
76.395,5366.61
76.445,5366.61
76.495,5365.13
76.545,5363.65
76.595,5363.65
76.645,5363.65
76.695,5362.17
76.745,5360.67
76.795,5359.19
76.845,5359.19
76.895,5359.19
76.945,5359.19
76.995,5357.71
77.045,5356.23
77.095,5356.23
77.145,5354.74
77.195,5354.74
77.245,5353.26
77.295,5351.77
77.345,5350.29
77.395,5350.29
77.445,5348.81
77.495,5347.32
77.545,5347.32
77.595,5345.84
77.645,5345.84
77.695,5345.84
77.745,5345.84
